Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Year
55426,Thumper,thumper,Action,E10,XOne,Unknown,Drool,0.0
55427,Thumper,thumper,Action,,PC,Unknown,Drool,0.0
55428,Thumper,thumper,Action,,iOS,Unknown,Drool,0.0
55433,Titan Attacks!,titan-attacks,Shooter,,PS3,Unknown,Puppy Games,0.0
55434,Titan Attacks!,titan-attacks,Shooter,,PS4,Unknown,Puppy Games,0.0
55435,Titan Attacks!,titan-attacks,Shooter,,PSV,Unknown,Puppy Games,0.0
55436,Titan Attacks!,titan-attacks,Shooter,,3DS,Unknown,Puppy Games,0.0
55437,Titan Attacks!,titan-attacks,Shooter,,PC,Unknown,Puppy Games,0.0
55438,Titan Attacks!,titan-attacks,Shooter,,And,Unknown,Puppy Games,0.0
55442,ToeJam & Earl: Back in the Groove,toejam-amp-earl-back-in-the-groove,Platform,,NS,Unknown,HumaNature Studios,0.0
55446,Tokyo Dark: Remembrance,tokyo-dark-remembrance,Adventure,,NS,Unknown,Mebius,0.0
55447,Tokyo Dark: Remembrance,tokyo-dark-remembrance,Adventure,,PS4,Unknown,Mebius,0.0
55452,Tokyo Ogre Gate,tokyo-ogre-gate,Action,,NS,Unknown,CyberConnect2,0.0
55453,Tokyo Ogre Gate,tokyo-ogre-gate,Action,,PC,Unknown,CyberConnect2,0.0
55454,Tokyo Ogre Gate,tokyo-ogre-gate,Action,,XOne,Unknown,CyberConnect2,0.0
55455,Tokyo Ogre Gate,tokyo-ogre-gate,Action,,PS4,Unknown,CyberConnect2,0.0
55462,Tormentum - Dark Sorrow,tormentum-dark-sorrow,Adventure,,PC,Unknown,OhNoo Studio,0.0
55463,Tormentum - Dark Sorrow,tormentum-dark-sorrow,Adventure,,OSX,Unknown,OhNoo Studio,0.0
55464,Tormentum - Dark Sorrow,tormentum-dark-sorrow,Adventure,,And,Unknown,OhNoo Studio,0.0
55466,TOSS N GO,toss-n-go,Misc,,WiiU,Unknown,RCMADIAX,0.0
55469,Totem,totem,Action,,PC,Unknown,Grizlikyt,0.0
55472,Touch Selections,touch-selections,Misc,,WiiU,Unknown,RCMADIAX,0.0
55475,Touhou Kobuto V: Burst Battle,touhou-kobuto-v-burst-battle,Shooter,,PSV,Unknown,CUBETYPE,0.0
55480,Tower of Guns,tower-of-guns,Shooter,,XOne,Unknown,Terrible Posture Games,0.0
55481,Tower of Guns,tower-of-guns,Shooter,,PC,Unknown,Terrible Posture Games,0.0
55501,Trine 4: The Nightmare Prince,trine-4-the-nightmare-prince,Action-Adventure,,NS,Unknown,Frozenbyte,0.0
55502,Trine 4: The Nightmare Prince,trine-4-the-nightmare-prince,Action-Adventure,,PS4,Unknown,Frozenbyte,0.0
55503,Trine 4: The Nightmare Prince,trine-4-the-nightmare-prince,Action-Adventure,,XOne,Unknown,Frozenbyte,0.0
55504,Trine 4: The Nightmare Prince,trine-4-the-nightmare-prince,Action-Adventure,,PC,Unknown,Frozenbyte,0.0
55516,Trove,trove,MMO,,PC,Unknown,Trion Worlds,0.0
55517,Truck Driver,truck-driver,Simulation,,PC,Unknown,Triangle Studios,0.0
55518,Truck Driver,truck-driver,Simulation,,PS4,Unknown,Triangle Studios,0.0
55519,Truck Driver,truck-driver,Simulation,,XOne,Unknown,Triangle Studios,0.0
55525,Tsioque,tsioque,Adventure,,PC,Unknown,OhNoo Studio,0.0
55526,Tsioque,tsioque,Adventure,,OSX,Unknown,OhNoo Studio,0.0
55527,TT Isle of Man: Ride on the Edge,tt-isle-of-man-ride-on-the-edge,Racing,E,PC,Unknown,Kylotonn,0.0
55536,Twin Mirror,twin-mirror,Adventure,,PS4,Unknown,DONTNOD Entertainment,0.0
55537,Twin Mirror,twin-mirror,Adventure,,XOne,Unknown,DONTNOD Entertainment,0.0
55538,Twin Mirror,twin-mirror,Adventure,,PC,Unknown,DONTNOD Entertainment,0.0
55551,Ultimate Marvel vs. Capcom 3,ultimate-marvel-vs-capcom-3,Fighting,,PC,Unknown,Capcom,0.0
55553,Ultra Space Battle Brawl,ultra-space-battle-brawl,Sports,,NS,Unknown,Mojiken Studio,0.0
55561,Unexplored: Unlocked Edition,unexplored-unlocked-edition,Role-Playing,,NS,Unknown,Ludomotion,0.0
55562,Unexplored: Unlocked Edition,unexplored-unlocked-edition,Role-Playing,,PS4,Unknown,Ludomotion,0.0
55563,Unexplored: Unlocked Edition,unexplored-unlocked-edition,Role-Playing,,XOne,Unknown,Ludomotion,0.0
55572,Unruly Heroes,unruly-heroes,Platform,,NS,Unknown,Magic Design Studios,0.0
